Review,Sentiment
The performance was weak to anyone.,Negative
The script wasn't impressive.,Negative
The storyline was disappointing too slow and boring.,Negative
The cinematography was weak to anyone.,Negative
The storyline was heartwarming and cinematography.,Positive
The movie was boring too slow and boring.,Negative
The film was excellent and beautiful story.,Positive
The cinematography was uninspiring dull and uninteresting.,Negative
The performance was terrible confusing and poorly executed.,Negative
The experience did not like it.,Negative
The cinematography was boring from start to finish.,Negative
The storyline was excellent and cinematography.,Positive
The direction was gripping and cinematography.,Positive
The movie was uninspiring too slow and boring.,Negative
The acting was forgettable a very disappointing film.,Negative
The plot was uninteresting confusing and poorly executed.,Negative
The storyline was brilliant and cinematography.,Positive
The cinematography was uninteresting and uninspiring movie.,Negative
The script was weak a waste of time.,Negative
The movie was forgettable a very disappointing film.,Negative
The movie was incredible from start to finish.,Positive
The acting was forgettable dull and uninteresting.,Negative
The storyline was fantastic and great visuals!,Positive
The characters was brilliant and great visuals!,Positive
The movie was forgettable to anyone.,Negative
The film was poorly executed confusing and poorly executed.,Negative
The movie was gripping with great performances.,Positive
The storyline was heartwarming and great visuals!,Positive
The storyline was weak at all.,Negative
The plot was heartwarming from start to finish.,Positive
The cinematography was incredible and gripping movie.,Positive
The acting was gripping from start to finish.,Positive
The film was beautiful and gripping movie.,Positive
The script didn't captivate me.,Negative
The storyline was gripping and cinematography.,Positive
The movie was incredible and beautiful story.,Positive
The cinematography was weak confusing and poorly executed.,Negative
The script was uninteresting at all.,Negative
The acting was exceptional from start to finish.,Positive
The direction didn't captivate me.,Negative
The movie was amazing with great performances.,Positive
The acting was heartwarming and gripping movie.,Positive
The script was forgettable at all.,Negative
The experience was forgettable at all.,Negative
The experience was terrible and a weak script.,Negative
The direction was excellent from start to finish.,Positive
The plot was dull a waste of time.,Negative
The movie was heartwarming with great performances.,Positive
The screenplay was incredible and characters.,Positive
The film was fantastic and thrilling!,Positive
The film was gripping and beautiful story.,Positive
The experience was exceptional from start to finish.,Positive
The plot was heartwarming and characters.,Positive
The film was weak to anyone.,Negative
The cinematography was excellent and cinematography.,Positive
The screenplay was heartwarming and beautiful story.,Positive
The acting was uninteresting a waste of time.,Negative
The characters was fantastic and exceptional direction.,Positive
The experience was terrible and uninspiring movie.,Negative
The cinematography was brilliant and beautiful story.,Positive
The experience was amazing and great visuals!,Positive
The cinematography was poorly executed too slow and boring.,Negative
The plot was amazing and cinematography.,Positive
The plot was outstanding and cinematography.,Positive
The acting was poorly executed and uninspiring movie.,Negative
